N,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
36,0.24096141619859412,0.21983677519668365,2.2740218684958986,2.0,1.3967665952234991e-07,3.1545058668410554e-08,0.14505722253629158,0.12652435720313457,1.7189121673408447,1.4739169911613297,0.014558243346322584,0.014571279496699669,0.014492118534368499,0.014478392945544555,0.015043562181730221,0.014797194863861387,0.015376150430103252,0.014820339108910893,0.015043562181730221,0.014797194863861387,0,0,,,,,,9
37,0.24096141609440164,0.2198367751962105,2.2740255005688854,2.0,1.3966124822712007e-07,3.154316117894606e-08,0.14505624177693272,0.12652434854750547,1.718917109388243,1.4739169967176102,0.014831367186844184,0.014804116027227721,0.01479892163952841,0.01476503155940594,0.015116618624580833,0.015037195777168078,0.015192438037629062,0.015049032685196232,0.015116618624580833,0.015037195777168078,0,0,,,,,,9
38,0.24096141605139973,0.21983677519601766,2.274027827857711,2.0,1.396514617054615e-07,3.1541990351917456e-08,0.14505551884419066,0.12652434218088845,1.7189201778380219,1.4739170004715,0.015116109713330772,0.015116444203795378,0.0150903986175726,0.015075237623762377,0.015457422719177038,0.015339360952970298,0.015624087498508889,0.015377423267326733,0.015457422719177038,0.015339360952970298,0,0,,,,,,9
39,0.24096141603364504,0.21983677519594924,2.274029319296716,2.0,1.396453530437338e-07,3.1541268059481536e-08,0.14505569260626341,0.12652433544499841,1.718922067151426,1.4739170030076743,0.015058403702682015,0.015057304455445548,0.015026253561274803,0.015040868193069308,0.01535900577110422,0.015313291150990099,0.015412727229048205,0.015355919554455446,0.01535900577110422,0.015313291150990099,0,0,,,,,,9
40,0.24096141602631097,0.21983677519592765,2.2740302752094914,2.0,1.3964162397099408e-07,3.154082221342237e-08,0.14505444538583714,0.1265243351495712,1.7189232258556353,1.4739170047211436,0.015634916773253633,0.015713004672153964,0.015593777603814597,0.015711546701658117,0.015904607374630533,0.015831345173267328,0.01599464543984519,0.01586030321782178,0.015904607374630533,0.015831345173267328,0,0,,,,,,9
41,0.2409614160232809,0.2198367751959212,2.274030887963959,2.0,1.3963934873585534e-07,3.154054722627429e-08,0.145053536491158,0.1265243318183002,1.7189239381727954,1.473917005878785,0.01628029708410098,0.016323497009075906,0.016244494081109916,0.016284678836633662,0.016489374593174677,0.01648403162128713,0.016584831782575846,0.01654935024752475,0.016489374593174677,0.01648403162128713,0,0,,,,,,9
42,0.24096141602202936,0.2198367751959191,2.274031280796976,2.0,1.3963801452140259e-07,3.1540377749260286e-08,0.14505339139124215,0.12652433021550386,1.7189243805185255,1.4739170066609013,0.016797497409743487,0.016712553217821783,0.016679705123298475,0.016690181311881186,0.01744767607558949,0.016919734715346534,0.017564079438214905,0.017058580445544553,0.01744767607558949,0.016919734715346534,0,0,,,,,,9
43,0.24096141602151278,0.2198367751959179,2.274031532669369,2.0,1.3963716728224532e-07,3.154027297528121e-08,0.14505148199902734,0.12652432933466395,1.7189246601531953,1.4739170071893082,0.01690301377981674,0.01689986829620462,0.016883224624570887,0.016891501237623764,0.017035172264718942,0.01703669573019802,0.01708826323776956,0.017042595297029704,0.017035172264718942,0.01703669573019802,0,0,,,,,,9
44,0.24096141602129967,0.21983677519591785,2.2740316941803664,2.0,1.3963667801310788e-07,3.154020838288162e-08,0.1450552870215944,0.12652433057732998,1.7189248411072566,1.4739170075463068,0.01719990090656907,0.017132657900165018,0.01719147905566159,0.017190232673267327,0.017405989480777897,0.017321364108910893,0.017446816970853714,0.017386138613861384,0.017405989480777897,0.017321364108910893,0,0,,,,,,9
45,0.24096141602121168,0.21983677519591763,2.2740317977590645,2.0,1.3963642777338633e-07,3.1540168407714535e-08,0.14505389778532826,0.12652433114860587,1.7189249611263273,1.4739170077874988,0.01759965276976995,0.0176069298679868,0.017574024128692987,0.01757820297029703,0.01779857657710048,0.017783993997524755,0.01785968939951224,0.017837201732673266,0.01779857657710048,0.017783993997524755,0,0,,,,,,9
46,0.24096141602117538,0.21983677519591766,2.274031864192025,2.0,1.396361953039519e-07,3.154014403756328e-08,0.14505465060759304,0.12652433077260722,1.7189250424112812,1.4739170079504516,0.018111661437554397,0.01799930816831683,0.018009026468083555,0.018026840965346534,0.01872964182223945,0.018247676732673267,0.01893701361717497,0.018273,0.01872964182223945,0.018247676732673267,0,0,,,,,,9
47,0.24096141602116028,0.21983677519591766,2.2740319068047774,2.0,1.396360561073944e-07,3.1540128698814216e-08,0.14505058209269872,0.12652433162924123,1.7189250981931075,1.4739170080605442,0.017902352256799474,0.017890130981848187,0.017799029234926506,0.017798602103960393,0.018377093236560102,0.018281575247524752,0.01862769933198139,0.018474009900990098,0.018377093236560102,0.018281575247524752,0,0,,,,,,9
48,0.24096141602115395,0.21983677519591766,2.2740319341408743,2.0,1.396360119227986e-07,3.154011933182368e-08,0.145052041571973,0.12652433170737984,1.7189251366124916,1.4739170081349244,0.017818321056365174,0.017811541460396044,0.017759196106207006,0.01774105332219969,0.018139795751984836,0.018085553465346536,0.018296390189470754,0.01813345792079208,0.018139795751984836,0.018085553465346536,0,0,,,,,,9
49,0.24096141602115134,0.21983677519591763,2.274031951678569,2.0,1.396357289749017e-07,3.1540113790877174e-08,0.14505454804152335,0.12652432652892545,1.7189251629221747,1.473917008185176,0.018679194277108433,0.01874471029290429,0.018680879352393074,0.01875688428217822,0.018820080493011652,0.018878833415841585,0.018850607086762894,0.018905063118811884,0.018820080493011652,0.018878833415841585,0,0,,,,,,9
50,0.24096141602115026,0.21983677519591763,2.2740319629309877,2.0,1.3963563303257896e-07,3.1540110097740884e-08,0.145045346188787,0.1265243287911003,1.7189251806918247,1.4739170082191264,0.01927182331070708,0.019192755672442243,0.019187592133385025,0.019197942450495047,0.0197432134363361,0.019416684344059403,0.02017022175666362,0.019434920792079206,0.0197432134363361,0.019416684344059403,0,0,,,,,,9
