scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
hidden_pole,stable__no_zero,32_32 (compact6),0.26210288903056345,2.0,0.0029287875075444236,0.6867967224319063,2.877844177786501,0.006867781353135315,0.006731846534653465,0.007380900495049504,0.007760732673267327,0.007380900495049504,12,False,False,,,4.0,5.5,7.0,6.0,7.0,5.5,5.833333333333333
hidden_pole,stable__no_zero,16_16_16 (rich11),0.26604609928604855,2.0,0.001637999453765552,0.6728528334839458,2.705803893137927,0.007423128712871287,0.007727306930693069,0.007973552475247525,0.008014851485148515,0.007973552475247525,12,False,False,,,9.0,5.5,5.0,5.0,2.0,5.5,5.333333333333333
hidden_pole,stable__no_zero,16_16_16 (compact6),0.26729841243562497,2.0,0.002661210704591139,0.4694330557980933,2.693687004421753,0.008002612211221121,0.007974420792079207,0.008794056435643563,0.009462039603960396,0.008794056435643563,12,False,False,,,10.0,5.5,6.0,2.0,1.0,5.5,5.0
hidden_pole,stable__no_zero,32_32_32 (rich11),0.2637185071522678,2.0,0.005929970520303435,0.7370687070835888,2.851658378635919,0.008657934818481847,0.008606851485148514,0.009019675247524752,0.009030108910891088,0.009019675247524752,12,False,False,,,5.0,5.5,9.0,8.0,5.0,5.5,6.333333333333333
hidden_pole,stable__no_zero,32_32_32 (compact6),0.2639719712459727,2.0,0.0005641754556087222,0.6934067630818413,2.870059241346302,0.008449462871287129,0.008266712871287128,0.009306576732673266,0.010115920792079208,0.009306576732673266,12,False,False,,,6.0,5.5,3.0,7.0,6.0,5.5,5.5
nominal,stable__lhp_zero,MPC,0.07278390583877566,2.0,1.068875693637833e-08,0.11570060003063232,1.4739170082191264,0.019837870462046207,0.019702975247524755,0.020567673762376237,0.020587871287128714,0.020567673762376237,12,False,False,,,1.0,5.5,1.0,3.0,10.0,5.5,4.333333333333333
nominal,stable__lhp_zero,RL (PID-features),0.07519874754789005,2.0,2.0024367834999838e-07,0.10541796831202217,1.3879917223575506,0.002257461221122112,0.002289811881188119,0.002307529207920792,0.0023077524752475246,0.002307529207920792,12,False,False,,,6.0,5.5,2.0,2.0,9.0,5.5,5.0
nominal,stable__lhp_zero,16_16 (rich11),0.0770042834923172,2.0,0.0027129969254054156,0.6756032596359082,1.2998521759127841,0.00631404702970297,0.006339935643564356,0.00685934405940594,0.00697029702970297,0.006859344059405939,12,False,False,,,10.0,5.5,10.0,10.0,2.0,5.5,7.166666666666667
nominal,stable__lhp_zero,16_16 (compact6),0.07435110076110502,2.0,4.123869327357887e-06,0.059928354156289665,1.3568062359100503,0.0060277764026402635,0.006456886138613861,0.00652710396039604,0.006528465346534654,0.00652710396039604,12,False,False,,,3.0,5.5,3.0,1.0,4.0,5.5,3.6666666666666665
nominal,stable__lhp_zero,32_32 (rich11),0.07400383183120679,2.0,8.364310972510403e-05,0.3115370440069178,1.3818602249623675,0.007159551155115512,0.007024757425742574,0.007730234158415841,0.008029287128712871,0.007730234158415841,12,False,False,,,2.0,5.5,6.0,5.0,7.0,5.5,5.166666666666667
