scenario,controller,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_composite_rank,median_composite_rank,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
hidden_pole,16_16 (compact6),2902.166700892177,0.264992616366894,78.65137040288971,2.0,35.32115269994492,0.013153183400168906,1.0075925783249056,0.8470667306281643,1.683298368464864,1.4917075184404363,5.842592592592593,5.333333333333333,0.006053180509717638,0.006037989273927392,0.006226646314631463,0.00626670792079208,0.006604817326732673,0.00644754504950495,0.006742620462046205,0.006499178217821782,0.006604817326732673,0.00644754504950495,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=690.8>10; tail_rms=317.6>0.2 and tail_g=2.995>1.2),unstable__rhp_zero,9
hidden_pole,16_16 (rich11),33.32316043187536,0.2612615691270767,9.935453096732212,2.0,3.77111157526561,0.00882689303697077,0.9744225683844121,0.7619508891492294,1.7304536429103914,1.3910153901846496,5.75,5.666666666666667,0.0059428132563256325,0.005962458745874587,0.006080032453245325,0.006163985148514852,0.0065519976347634765,0.006674110891089108,0.006702556655665566,0.0067376237623762375,0.0065519976347634765,0.0066741108910891075,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=72.23>10; tail_rms=33.76>0.2 and tail_g=2.828>1.2),unstable__rhp_zero,9
hidden_pole,16_16_16 (compact6),2422.6119690480696,0.26729841243562497,80.39561992322426,2.0,36.20166716150409,0.009577039491454296,1.0808122967355114,0.6666419485397724,1.6661400863401588,1.4569670814364073,5.87962962962963,5.916666666666667,0.007314210854418775,0.00740580198019802,0.007438782178217822,0.007635311881188119,0.008133878657865785,0.008104911386138614,0.008445633663366337,0.008471118811881189,0.008133878657865785,0.008104911386138614,2,2,"unstable__no_zero,unstable__rhp_zero","late_escalation,peak_error",hidden_pole:unstable__no_zero; hidden_pole:unstable__rhp_zero,unstable__no_zero (peak_error=83.14>10; tail_rms=38>0.2 and tail_g=3.052>1.2); unstable__rhp_zero (peak_error=625.4>10; tail_rms=287.6>0.2 and tail_g=2.99>1.2),"unstable__no_zero,unstable__rhp_zero",9
hidden_pole,16_16_16 (rich11),2571.2483119433655,0.26604609928604855,74.09497059208331,2.0,33.216914702017135,0.001740028273418874,0.9084862116083701,0.6728687965190481,1.7294327052724858,1.4757179331046808,5.546296296296297,5.333333333333333,0.007437187018701871,0.007509076732673269,0.007646108910891088,0.007718851485148516,0.00811427717271727,0.007980199504950495,0.00834947084708471,0.008030118811881188,0.00811427717271727,0.007980199504950495,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=649.7>10; tail_rms=298.9>0.2 and tail_g=2.987>1.2),unstable__rhp_zero,9
hidden_pole,32_32 (compact6),0.39769424816182336,0.26210288903056345,2.195123941456907,2.0,0.11618869362647816,0.013646584085199377,1.114938438510806,0.7624976152932023,1.7603945636350644,1.4304928411181146,5.787037037037037,5.75,0.006901085625229191,0.006869395214521453,0.00680539493949395,0.006772688118811881,0.007458216171617161,0.007363613861386138,0.007829850385038504,0.007631188118811881,0.007458216171617161,0.0073636138613861375,1,1,unstable__rhp_zero,late_escalation,hidden_pole:unstable__rhp_zero,unstable__rhp_zero (tail_rms=0.9582>0.2 and tail_g=4.157>1.2),unstable__rhp_zero,9
hidden_pole,32_32 (rich11),0.3263612859048247,0.25958575286673674,2.19099708166963,2.0,0.07399456967114332,0.007839764754393639,0.9010465338571474,0.7396905482322578,1.7701325733677142,1.5166105156175715,5.638888888888889,5.75,0.007055101760176018,0.007059063531353136,0.006972428492849284,0.006968029702970297,0.007489567821782177,0.007397586633663366,0.007767694169416941,0.007595712871287129,0.007489567821782177,0.007397586633663366,0,0,,,,,,9
hidden_pole,32_32_32 (compact6),4518.129863867333,0.2639719712459727,97.74054185176493,2.0,44.04542173230721,0.0022592614980701297,1.025966160828666,0.8218886590966176,1.7045776229683944,1.4465617487094087,5.4907407407407405,5.25,0.00852495086175284,0.00852561303630363,0.008393655665566557,0.00840491089108911,0.009156459515951596,0.009054639603960395,0.0095755401540154,0.009404287128712871,0.009156459515951596,0.009054639603960395,1,1,unstable__rhp_zero,"late_escalation,peak_error",hidden_pole:unstable__rhp_zero,unstable__rhp_zero (peak_error=862.5>10; tail_rms=396.3>0.2 and tail_g=3.001>1.2),unstable__rhp_zero,9
hidden_pole,32_32_32 (rich11),0.2938405933093261,0.2637185071522678,2.1942365016557037,2.0,0.01504070314015599,0.006889742509506192,0.7301563419028758,0.7370687070835888,1.7382340328455959,1.48471777233912,5.37962962962963,5.583333333333333,0.008705621103777044,0.00872796204620462,0.008572125412541255,0.008606851485148514,0.009314181683168317,0.009324710891089109,0.009721488448844885,0.009592,0.009314181683168317,0.009324710891089109,0,0,,,,,,9
hidden_pole,MPC,0.2830180970808708,0.25595429058751434,2.2353406955398074,2.0,0.00016722321549015307,8.522213026499978e-07,0.2028948072715666,0.10414987606266919,1.9419574042948022,1.6461318985570543,4.064814814814815,4.166666666666667,0.01999499266593326,0.019998796204620462,0.019781833333333332,0.01979352475247525,0.021131920902090207,0.021203157425742573,0.021527,0.021260316831683168,0.021131920902090207,0.021203157425742573,0,0,,,,,,9
hidden_pole,RL (PID-features),1.4247710528408752,0.27769330862397457,2.945232742212262,2.0,0.03777189736961364,0.00018360731092158142,0.398782011439437,0.3578212845589494,2.7441796487359866,1.6613109649242779,5.62037037037037,5.5,0.002185479922992299,0.0022321930693069304,0.002148767876787679,0.0022335000000000002,0.0024170337733773377,0.002315329207920792,0.00249518701870187,0.0023296237623762375,0.0024170337733773377,0.002315329207920792,0,0,,,,,,9
