scenario,plant_id,controller,variant_id,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
nominal,unstable__no_zero,16_16 (compact6),mlp_compact6,0.11389495999747505,2.0,0.005511518065982364,0.2355756668468386,2.1187460060649177,False,False,,,7.0,4.5,8.0,2.0,3.0,4.5,4.833333333333333
disturbed,unstable__no_zero,16_16 (compact6),mlp_compact6,0.11897862247352371,2.0,0.015305125869335223,2.032966740670354,2.265363710353816,False,False,,,8.0,4.5,5.0,4.0,8.0,4.5,5.666666666666667
hidden_pole,unstable__no_zero,16_16 (compact6),mlp_compact6,0.14759144855516104,2.0,0.013264006073886857,0.6289277309407688,2.409941903551201,False,False,,,6.0,4.0,7.0,6.0,1.0,4.0,4.666666666666667
nominal,unstable__no_zero,32_32 (rich11),mlp_rich_wide,0.11154725892507761,2.0,2.5410277748933098e-05,0.37013949458877815,2.1930352610191637,False,False,,,3.0,4.5,3.0,4.0,8.0,4.5,4.5
disturbed,unstable__no_zero,32_32 (rich11),mlp_rich_wide,0.11525189110047787,2.0,0.013955387693386282,1.9467890447513774,2.2116863567167826,False,False,,,2.0,4.5,4.0,2.0,5.0,4.5,3.6666666666666665
hidden_pole,unstable__no_zero,32_32 (rich11),mlp_rich_wide,0.140109161139107,2.0,0.000589974258845384,0.40906554944143675,2.643912959592208,False,False,,,3.0,4.0,2.0,3.0,8.0,4.0,4.0
nominal,unstable__no_zero,32_32 (compact6),mlp_compact6_wide,0.11107011731924403,2.0,0.0004957129517296797,0.5268719690271122,2.0957178218308785,False,False,,,2.0,4.5,6.0,6.0,1.0,4.5,4.0
disturbed,unstable__no_zero,32_32 (compact6),mlp_compact6_wide,0.11643709781935245,2.0,0.015344173653089252,2.8560990974882308,2.1902517542664697,False,False,,,4.0,4.5,6.0,7.0,3.0,4.5,4.833333333333333
hidden_pole,unstable__no_zero,32_32 (compact6),mlp_compact6_wide,0.13724031650280222,2.0,0.0014659355176698363,0.5527013094312537,2.515995653166732,False,False,,,2.0,4.0,5.0,5.0,5.0,4.0,4.166666666666667
nominal,unstable__no_zero,16_16_16 (rich11),mlp_max,0.11169493375930867,2.0,8.617795587112346e-06,0.35291331749909205,2.130893127652682,False,False,,,4.0,4.5,2.0,3.0,4.0,4.5,3.6666666666666665
disturbed,unstable__no_zero,16_16_16 (rich11),mlp_max,0.11514189283229652,2.0,0.012422795054794863,1.9136536160184734,2.1918274248779563,False,False,,,1.0,4.5,2.0,1.0,4.0,4.5,2.8333333333333335
hidden_pole,unstable__no_zero,16_16_16 (rich11),mlp_max,0.14244623074712803,2.0,0.0010619283277500551,0.3752967817500647,2.5434856693941024,False,False,,,5.0,4.0,4.0,2.0,6.0,4.0,4.166666666666667
nominal,unstable__no_zero,16_16_16 (compact6),mlp_compact6_max,0.1109636178226373,2.0,8.486280503838095e-06,0.7608830996595907,2.163817528717059,False,False,,,1.0,4.5,1.0,8.0,7.0,4.5,4.333333333333333
disturbed,unstable__no_zero,16_16_16 (compact6),mlp_compact6_max,0.11687029893299919,2.0,0.01856680861940395,2.940284036466067,2.1863232648222537,False,False,,,5.0,4.5,8.0,8.0,2.0,4.5,5.333333333333333
hidden_pole,unstable__no_zero,16_16_16 (compact6),mlp_compact6_max,93535724018.64896,1846073.5193751967,607146.6834706014,8.166205951871767,2.6360337410010106,True,True,"peak_error,late_escalation",peak_error=1.846e+06>10; tail_rms=6.071e+05>0.2 and tail_g=8.166>1.2,8.0,8.0,8.0,8.0,7.0,8.0,7.833333333333333
nominal,unstable__no_zero,32_32_32 (rich11),mlp_rich_xl,0.11174084618810577,2.0,4.2384648670182285e-05,0.2072131237418994,2.1111892420198313,False,False,,,5.0,4.5,4.0,1.0,2.0,4.5,3.5
disturbed,unstable__no_zero,32_32_32 (rich11),mlp_rich_xl,0.11547271146267035,2.0,0.012453123757438152,1.9860620590988693,2.178363705550949,False,False,,,3.0,4.5,3.0,3.0,1.0,4.5,3.1666666666666665
hidden_pole,unstable__no_zero,32_32_32 (rich11),mlp_rich_xl,0.14050445227852848,2.0,0.0009344112863277698,0.337285394450773,2.4568790950862556,False,False,,,4.0,4.0,3.0,1.0,2.0,4.0,3.0
nominal,unstable__no_zero,32_32_32 (compact6),mlp_compact6_xl,0.11207529467333446,2.0,0.0025076243470123234,0.6506466395647051,2.1448774102313344,False,False,,,6.0,4.5,7.0,7.0,5.0,4.5,5.666666666666667
