mode,N,x0,theta0_deg,pass_case,survived_horizon,settled,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_x_m,final_theta_deg,final_rate_norm
successive,20,0.0,5.0,False,True,False,--,nan,401,5.0,0.981767422061464,6.733087591806955,-0.981767422061464,0.013237377275871253,0.12893697728481218
successive,20,0.0,8.0,False,True,False,--,nan,401,8.0,1.9308231326820764,9.97083205021222,-1.9308231326820764,0.052938337433506316,0.27463544200686074
successive,20,0.05,-8.0,False,True,False,--,nan,401,8.0,1.9815840455686848,9.970831361399405,1.9815840455686848,-0.053312024413501774,0.2749082275921954
successive,20,0.05,-5.0,False,True,False,--,nan,401,5.0,1.0324911446053788,6.733078228384588,1.0324911446053788,-0.01360495043901994,0.12920065737817635
successive,20,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.6049736508180628,4.009651995305163,0.6049736508180628,-0.005481526217608897,0.0711941542694235
successive,20,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5035374438272616,4.009665123558556,-0.5035374438272616,0.004748186635778485,0.07066951664432825
successive,20,0.05,5.0,False,True,False,--,nan,401,5.0,0.9310436997388414,6.733096955229402,-0.9310436997388414,0.012869804178264116,0.12867329724954776
successive,20,0.05,8.0,False,True,False,--,nan,401,8.0,1.8800622201358266,9.970832739025038,-1.8800622201358266,0.05256465070569598,0.2743626565663548
successive,30,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.5123916850725299,9.999855816456934,1.5123916850725299,0.017759116474286303,0.17982154191040742
successive,30,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.8109041003285402,6.74500000823438,0.8109041003285402,0.01133754102215154,0.09744090344405511
successive,30,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.44763798859245024,4.013615161245721,0.44763798859245024,0.006762623057210568,0.0560773413423484
successive,30,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.547643750748631,4.013614545410834,-0.547643750748631,-0.00676080256480571,0.05607905771352571
successive,30,-0.05,5.0,False,True,False,--,nan,401,5.0,0.91090990519861,6.744999009069782,-0.91090990519861,-0.01133571360203081,0.09744263018726132
successive,30,-0.05,8.0,False,True,False,--,nan,401,8.0,1.6123977859888434,9.99985612682213,-1.6123977859888434,-0.017757207465217313,0.17982336447276542
successive,30,0.0,-8.0,False,True,False,--,nan,401,8.0,1.5623947355826922,9.999855971639526,1.5623947355826922,0.017758161970405785,0.17982245319773535
successive,30,0.0,-5.0,False,True,False,--,nan,401,5.0,0.8609070027756346,6.744999508652088,0.8609070027756346,0.01133662731224867,0.09744176681708512
successive,30,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4976408696841892,4.013614853328246,0.4976408696841892,0.0067617128111976555,0.05607819952954192
successive,30,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4976408696841892,4.013614853328246,-0.4976408696841892,-0.0067617128111976555,0.05607819952954192
successive,30,0.0,5.0,False,True,False,--,nan,401,5.0,0.8609070027756346,6.744999508652088,-0.8609070027756346,-0.01133662731224867,0.09744176681708512
successive,30,0.0,8.0,False,True,False,--,nan,401,8.0,1.5623947355826922,9.999855971639526,-1.5623947355826922,-0.017758161970405785,0.17982245319773535
successive,30,0.05,-8.0,False,True,False,--,nan,401,8.0,1.6123977859888434,9.99985612682213,1.6123977859888434,0.017757207465217313,0.17982336447276542
successive,30,0.05,-5.0,False,True,False,--,nan,401,5.0,0.91090990519861,6.744999009069782,0.91090990519861,0.01133571360203081,0.09744263018726132
successive,30,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.547643750748631,4.013614545410834,0.547643750748631,0.00676080256480571,0.05607905771352571
successive,30,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.44763798859245024,4.013615161245721,-0.44763798859245024,-0.006762623057210568,0.0560773413423484
successive,30,0.05,5.0,False,True,False,--,nan,401,5.0,0.8109041003285402,6.74500000823438,-0.8109041003285402,-0.01133754102215154,0.09744090344405511
successive,30,0.05,8.0,False,True,False,--,nan,401,8.0,1.5123916850725299,9.999855816456934,-1.5123916850725299,-0.017759116474286303,0.17982154191040742
successive,40,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.489450606605233,9.999999272345692,1.489450606605233,0.022160658858731842,0.17378190440895988
successive,40,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.8053820481037677,6.745066961618202,0.8053820481037677,0.012400797718413872,0.09598618844322941
successive,40,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4454413380907571,4.013630425941637,0.4454413380907571,0.007186843668889493,0.05549830026537701
successive,40,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5454415128511856,4.0136303971305525,-0.5454415128511856,-0.007186812936758198,0.05549834389261223
successive,40,-0.05,5.0,False,True,False,--,nan,401,5.0,0.9053822235268715,6.745066906287225,-0.9053822235268715,-0.012400766970611406,0.09598623216549101
successive,40,-0.05,8.0,False,True,False,--,nan,401,8.0,1.589450776258071,9.99999927639519,-1.589450776258071,-0.022160627512826762,0.17378194781376027
successive,40,0.0,-8.0,False,True,False,--,nan,401,8.0,1.539450691456959,9.999999274370454,1.539450691456959,0.022160643186152153,0.17378192611429769
